Country,Median Age
World,30.6
Afghanistan,19.0
Albania,33.4
Algeria,28.3
American Samoa,26.1
Andorra,44.9
Angola,15.9
Anguilla,35.1
Antigua And Barbuda,32.2
Argentina,31.9
Armenia,35.6
Aruba,39.5
Australia,38.8
Austria,44.2
Azerbaijan,31.7
"Bahamas, The",32.3
Bahrain,32.5
Bangladesh,27.1
Barbados,38.9
Belarus,40.3
Belgium,41.5
Belize,23.7
Benin,18.4
Bermuda,43.5
Bhutan,28.1
Bolivia,24.6
Bosnia And Herzegovina,42.5
Botswana,24.9
Brazil,32.4
British Virgin Islands,36.7
Brunei,30.5
Bulgaria,43.0
Burkina Faso,17.4
Burma,28.5
Burundi,17.1
Cabo Verde,25.8
Cambodia,25.7
Cameroon,18.6
Canada,42.4
Cayman Islands,40.2
Central African Republic,19.8
Chad,15.8
Chile,34.8
China,37.7
Colombia,30.4
Comoros,20.2
"Congo, Democratic Republic Of The",18.8
"Congo, Republic Of The",19.6
Cook Islands,37.2
Costa Rica,31.7
Cote D'Ivoire,19.9
Croatia,43.3
Cuba,41.8
Curacao,36.3
Cyprus,37.2
Czechia,42.5
Denmark,41.9
Djibouti,24.2
Dominica,34.0
Dominican Republic,27.3
Ecuador,28.1
Egypt,23.9
El Salvador,27.6
Equatorial Guinea,19.9
Eritrea,19.9
Estonia,43.0
Eswatini,23.2
Ethiopia,18.0
Faroe Islands,37.6
Fiji,29.2
Finland,42.6
France,41.5
French Polynesia,32.4
Gabon,20.5
"Gambia, The",21.3
Gaza Strip,17.4
Georgia,38.3
Germany,47.4
Ghana,21.2
Gibraltar,35.0
Greece,44.9
Greenland,34.0
Grenada,32.1
Guam,29.1
Guatemala,22.5
Guernsey,44.0
Guinea,19.0
Guinea-Bissau,17.8
Guyana,26.7
Haiti,23.3
Honduras,23.3
Hong Kong,44.8
Hungary,42.7
Iceland,36.7
India,28.1
Indonesia,30.5
Iran,30.8
Iraq,20.2
Ireland,37.1
Isle Of Man,44.4
Israel,30.1
Italy,45.8
Jamaica,28.6
Japan,47.7
Jersey,37.7
Jordan,22.8
Kazakhstan,30.9
Kenya,20.0
Kiribati,25.0
"Korea, North",34.2
"Korea, South",42.3
Kosovo,29.6
Kuwait,29.4
Kyrgyzstan,26.8
Laos,23.4
Latvia,43.9
Lebanon,31.3
Lesotho,24.4
Liberia,17.8
Libya,29.4
Liechtenstein,43.4
Lithuania,44.0
Luxembourg,39.3
Macau,39.8
Madagascar,19.9
Malawi,16.6
Malaysia,28.7
Maldives,28.6
Mali,15.8
Malta,41.8
Marshall Islands,23.1
Mauritania,20.7
Mauritius,35.7
Mexico,28.6
"Micronesia, Federated States Of",25.5
Moldova,37.0
Monaco,53.8
Mongolia,28.8
Montenegro,38.9
Montserrat,33.8
Morocco,29.7
Mozambique,17.3
Namibia,21.4
Nauru,26.7
Nepal,24.5
Netherlands,42.7
New Caledonia,32.3
New Zealand,38.1
Nicaragua,26.2
Niger,15.5
Nigeria,18.3
North Macedonia,38.2
Northern Mariana Islands,33.4
Norway,39.3
Oman,25.8
Pakistan,24.1
Palau,33.6
Panama,29.5
Papua New Guinea,23.4
Paraguay,28.7
Peru,28.4
Philippines,23.7
Poland,41.1
Portugal,43.7
Puerto Rico,42.2
Qatar,33.4
Romania,41.6
Russia,39.8
Rwanda,19.2
Saint Barthelemy,44.7
"Saint Helena, Ascension, And Tristan Da Cunha",42.4
Saint Kitts And Nevis,35.5
Saint Lucia,35.5
Saint Martin,32.8
Saint Pierre And Miquelon,47.2
Saint Vincent And The Grenadines,34.2
Samoa,24.8
San Marino,44.7
Sao Tome And Principe,18.7
Saudi Arabia,29.9
Senegal,19.0
Serbia,42.8
Seychelles,35.8
Sierra Leone,19.1
Singapore,34.9
Sint Maarten,41.2
Slovakia,41.0
Slovenia,44.2
Solomon Islands,22.8
Somalia,18.2
South Africa,27.4
South Sudan,18.1
Spain,43.1
Sri Lanka,33.1
Sudan,17.9
Suriname,30.2
Sweden,41.1
Switzerland,42.5
Syria,24.5
Taiwan,41.3
Tajikistan,24.8
Tanzania,17.9
Thailand,38.1
Timor-Leste,19.1
Togo,19.9
Tonga,23.3
Trinidad And Tobago,36.6
Tunisia,32.0
Turkey,31.4
Turkmenistan,28.3
Turks And Caicos Islands,33.8
Tuvalu,26.0
Uganda,15.9
Ukraine,40.8
United Arab Emirates,37.2
United Kingdom,40.5
United States,38.2
Uruguay,35.1
Uzbekistan,29.1
Vanuatu,22.3
Venezuela,28.7
Vietnam,30.9
Virgin Islands,41.3
Wallis And Futuna,32.8
West Bank,21.4
Western Sahara,21.5
Yemen,19.8
Zambia,16.8
Zimbabwe,20.2
European Union,43.2
